,product_name,Product_Number,Bluetooth,Main Camera Resolution,Internal Memory,Processor,Battery Capacity,Display Resolution,Display Size (inch),Network,Weight (g),Processor,Dimensions,RAM,Talk Time,image,price,key features
0,267416,Huawei nova 2i,4.2 BLE,16MP + 2MP Dual Camera,64GB,HUAWEI Kirin 659 Octa-core processor (4*Cortex A53 2.36GHz + 4*Cortex A53 1.7GHz),"3,340mAh non removable battery",2160 x 1080,5.9inches,Main SIM:,164g,HUAWEI Kirin 659 Octa-core processor (4*Cortex A53 2.36GHz + 4*Cortex A53 1.7GHz),156.2 x 75.2 x 7.5mm,4GB,Approximately 20 hours,4ac3c410012b5726d89a7b12e5053aa5db1c8528.jpg,2880.0,"16 MP + 2 MP Dual Rear Camera with Aperture Adjust
13 MP + 2 MP Dual Front Camera with Smart Soft Light
5.9-inch Edge-to-Edge Display
3340mAh Battery Capacity for 2 Days Normal Use 
4GB RAM and 64GB ROM"
1,267147,Samsung GALAXY C8 (C7100),"v4.2 (A2DP, AVRCP, DI, HFP, HID, HOGP, HSP, MAP, OPP, PAN, PBAP)",13MP Camera (F1.7 aperture)+,N/A,Octa Core Processor: MTK P25 [MT6757V/CD] (Quad 2.39GHz + Quad 1.69GHz),"3,000mAh",N/A,5.5”  (1920 x 1080),"4G FDD-LTE: B1(2100), B3(1800), B5(850), B7(2600), B8(900)",180g,Octa Core Processor: MTK P25 [MT6757V/CD] (Quad 2.39GHz + Quad 1.69GHz),152.4 (L) x 74.7 (W) x 7.9(D) mm,4GB RAM + 64GB internal storage and support microSD™ up to 256GB,N/A,abbf83281a7d7a2bcf158cc6fe91a56317335c99.jpg,2998.0,"Rear dual camera: Support Live Focus (13MP+ 5MP with either F1.7 aperture)
**Dual messenger operates two different accounts
Excellent selfie experience: Front camera 16MP high-resolution with front LED flash
5.5” FHD Super AMOLED Display with refined design in full metal
Support microSD™ card up to 256GB
Support dual SIM dual standby and 4G & 3G networks in China and HK
A new way to interact with your phone: Support Bixby vision and reminder
** Support compatible messenger app"
2,265370,ASUS Zenfone 4 Selfie,Bluetooth™ 4.2 + A2DP + EDR,16 Megapixels f/2.2  aperture,64GB,Qualcomm® Snapdragon™ SDM430 Octa Core Processor,3000 mAh,1280 x 720 pixels,5.5” FHD  Display,TDD-LTE  Band 38/40(2545~2655MHz),144 g,Qualcomm® Snapdragon™ SDM430 Octa Core Processor,155.66*75.9*7.85 mm,4GB,1560 mins (3G) / 1380 mins (4G),d5e57dfac0c4ba6a1de5d0c572ae24f6e4ba7fa6.jpg,2198.0,"Front dual lens 20 million pixels 2.0 aperture + 8 million pixels 2.8 aperture 2x optical zoom 120 degrees wide angle
Qualcomm® Snapdragon™ 430 with 4GB RAM/64 GB ROM
Built-in Selfie Master supports beauty self-timer video and video streaming
Support 5 magnet speakers, the sound thicker distortion is small
Real three card slot: 2 SIM card slot + 1 microSD slot"
3,265858,MEIZU PRO 7,V4.2,12MP + 12MP IMX386 Dual Camera,64GB,Helio P25 8-core processor (ARM® Cortex®-A53™ 2.6GHz x4 +ARM® Cortex®-A53™ 1.6GHz x4),3000mAh (min.) / 3000mAh (Typ.) Non removable battery,1920 x 1080 (423PPI),5.2 inches,GSM：1900/1800/850/900MHz,163g,Helio P25 8-core processor (ARM® Cortex®-A53™ 2.6GHz x4 +ARM® Cortex®-A53™ 1.6GHz x4),147.6 x 70.7 x 7.3 mm,4GB,(2G): 2700mins; (3G): 1500mins,8f2b7dd4e298a0e3e0bbd81f9e7539c802a471ed.jpg,3280.0,"Helio P25 8-core processor (ARM® Cortex®-A53™ 2.6GHz x4 +ARM® Cortex®-A53™ 1.6GHz x4)
4GB LPDDR4X RAM
12MP + 12MP camera(Color + Mono、Sony IMX386 sensor、ƒ/2.0 large aperture、PDAF phase focusing)
16MP front camera, ArcSoft® beautification algorithm
5.2 inches 1920x1080 Super AMOLED display
1.9 inches 536x240 AMOLED second-display
mCharge  fast charging
mTouch 2.1 fingerprint identity sensor
eMMC 5.1 ultra-fast memory
Cirrus Logic CS43130"
4,263317,Apple iPhone 8 Plus(256GB),Bluetooth 5.0,12MP wide-angle and telephoto cameras,Up to 256GB,A11 Bionic chip with 64-bit architecture,N/A,1920 x 1080 pixels,5.5-inch (diagonal) widescreen LCD Multi-Touch display with IPS technology,FDD-LTE (Bands 1、2、3、4、5、7、8、12、13、17、18、19、20、25、26、28、29、30、66),202(with battery),A11 Bionic chip with 64-bit architecture,158.4 x 78.1 x 7.5,N/A,Talk time (wireless): Up to 14 hours,709d2ba711166be70df81a97dd2bb920d4be6c68.jpg,8188.0,"5.5-inch (diagonal) widescreen LCD Multi-Touch display with IPS technology
Retina HD display with True Tone, a wide color gamut (P3), and 3D Touch
12MP wide-angle and telephoto cameras, 4K video, and 7MP FaceTime HD camera
All‑Glass Design
A11 Bionic chip with 64-bit architecture
Rated IP67 Splash, Water, and Dust Resistant
Wireless charging (works with Qi chargers)"
5,265946,Lenovo™ K8,BT4.2 LE + BT3.0,13 Megapixels,32GB,MTK P20 2.3GHz Octa Core Processor,4000 mAh,1280 x 720 pixels,5.2” HD  display,TDD LTE Band 40,165  g,MTK P20 2.3GHz Octa Core Processor,147.9 x 73.7 x 8.55 mm,3GB,24 hrs in mixed usage,70ec7b3f7dc1c93c41c0d5a09665cbd89e201c21.jpg,1699.0,"13MP front camera with PDAF 
5.2” HD IPS display
Fingerprint sensor 
2.3 GHz Octa-core energy efficient processor
4000mAh battery"
6,267403,Sony Xperia XA1 Plus,Bluetooth™ 4.2,23 Megapixels Sony Exmor RS™ for mobile image sensor,32GB,MediaTek MT6757 64-bit 2.3GHz Octa Core Processor,3430 mAh,1080 x 1920 pixels,5.5” Full HD display,"TDD-LTE Band38(2600), Band39(1900), Band40(2300), Band41(2500)",190 g,MediaTek MT6757 64-bit 2.3GHz Octa Core Processor,155 x 75 x 8.7 mm,4GB,21 hours (2G) / 22 hours (3G),fda7dd57e958569d3c4392cd9b99577c881a9334.jpg,2998.0,"Large 5.5” FHD display
3430mAh large battery capacity allows you to enjoy on-the-go entertainment 
Smart Amplifier enhanced dynamic speaker sound with better sound quality
23MP main camera supports 0.6s quick launch and capture function
High speed Octa-core processor with 4GB RAM
Fingerprint sensor embedded in power button to detect the touch and unlock instantly"
7,265859,MEIZU PRO 7 Plus,V4.2,12MP + 12MP IMX386 Dual camera,128GB,Helio X30 10-core processor (ARM® Cortex®-A73™ 2.6GHz x2 +ARM® Cortex®-A53™ 2.2GHz x4 +ARM® Cortex®-A35™ 1.9GHz x4),3500mAh (min.) / 3500mAh (Typ.) Non removable battery,2560 x 1440 (518PPI),5.7 inches,GSM：1900/1800/850/900MHz,170g,Helio X30 10-core processor (ARM® Cortex®-A73™ 2.6GHz x2 +ARM® Cortex®-A53™ 2.2GHz x4 +ARM® Cortex®-A35™ 1.9GHz x4),157.3 x 77.2 x 7.3 mm,6GB,(2G): 2600mins; (3G): 1700mins,7107c00e08f538fe11436cce4fdc6c3158783cb4.jpg,4680.0,"Helio X30 10-core processor (RM® Cortex®-A73™ 2.6GHz x2 +ARM® Cortex®-A53™ 2.2GHz x4 +ARM® Cortex®-A35™ 1.9GHz x4)
6GB LPDDR4X RAM / 128GB ROM
12MP + 12MP camera(Color + Mono、Sony IMX386 sensor、ƒ/2.0 large aperture、PDAF phase focusing)
16MP front camera, ArcSoft® beautification algorithm
5.7 inches 2560x1440 Super AMOLED display
1.9 inches 536x240 AMOLED second-display
mCharge  fast charging
mTouch 2.1 fingerprint identity sensor
UFS 2.1 ultra-fast memory
Cirrus Logic CS43130"
8,263316,Apple iPhone 8 Plus(64GB),Bluetooth 5.0,12MP wide-angle and telephoto cameras,Up to 64GB,A11 Bionic chip with 64-bit architecture,N/A,1920 x 1080 pixels,5.5-inch (diagonal) widescreen LCD Multi-Touch display with IPS technology,FDD-LTE (Bands 1、2、3、4、5、7、8、12、13、17、18、19、20、25、26、28、29、30、66),202(with battery),A11 Bionic chip with 64-bit architecture,158.4 x 78.1 x 7.5,N/A,Talk time (wireless): Up to 14 hours,952690bfd0931bc2a4bbecbb7e08db33bf6056ab.jpg,6888.0,"5.5-inch (diagonal) widescreen LCD Multi-Touch display with IPS technology
Retina HD display with True Tone, a wide color gamut (P3), and 3D Touch
12MP wide-angle and telephoto cameras, 4K video, and 7MP FaceTime HD camera
All‑Glass Design
A11 Bionic chip with 64-bit architecture
Rated IP67 Splash, Water, and Dust Resistant
Wireless charging (works with Qi chargers)"
9,263315,Apple iPhone 8 (256GB),Bluetooth 5.0,New 12-megapixel,Up to 256GB,A11 Bionic chip with 64-bit architecture,N/A,1334 x 750 pixels,4.7-inch (diagonal) widescreen LCD Multi-Touch display with IPS technology,FDD-LTE (Bands 1、2、3、4、5、7、8、12、13、17、18、19、20、25、26、28、29、30、66),148(with battery),A11 Bionic chip with 64-bit architecture,138.4 x 67.3 x 7.3,N/A,Talk time (wireless): Up to 14 hours,ddb22ca87117fdb44e9c2fd139b3a5f8a58a7890.jpg,7288.0,"4.7-inch (diagonal) widescreen LCD Multi-Touch display with IPS technology
Retina HD display with True Tone, a wide color gamut (P3), and 3D Touch
All‑Glass Design
12MP cameras, 4K video, and 7MP FaceTime HD camera
A11 Bionic chip with 64-bit architecture
Rated IP67 Splash, Water, and Dust Resistant
Wireless charging (works with Qi chargers)"
